periodo;total;homens;mulheres
2012-01-01;9.6;7.1;13.1
2012-04-01;8.3;6.4;11.0
2012-07-01;9.4;7.6;11.8
2012-10-01;9.2;7.9;11.1
2013-01-01;10.7;8.2;14.2
2013-04-01;9.7;8.3;11.7
2013-07-01;8.5;6.6;11.2
2013-10-01;7.4;6.1;9.3
2014-01-01;8.8;7.4;10.9
2014-04-01;8.0;7.2;9.2
2014-07-01;8.5;7.4;9.9
2014-10-01;7.7;6.7;9.1
2015-01-01;8.2;6.8;10.2
2015-04-01;9.2;8.3;10.4
2015-07-01;11.3;10.1;12.9
2015-10-01;11.1;10.3;12.3
2016-01-01;13.4;12.5;14.8
2016-04-01;14.2;13.0;15.9
2016-07-01;15.5;14.0;17.5
2016-10-01;15.9;14.3;18.2
2017-01-01;17.3;15.5;19.9
2017-04-01;19.0;17.4;21.2
2017-07-01;18.1;17.1;19.3
2017-10-01;17.0;15.8;18.6
2018-01-01;17.9;17.4;18.6
2018-04-01;17.1;16.7;17.7
2018-07-01;17.0;15.9;18.5
2018-10-01;15.6;13.8;18.0
2019-01-01;16.3;14.2;19.1
2019-04-01;16.1;14.5;18.3
2019-07-01;16.0;13.3;19.6
2019-10-01;14.2;12.3;16.6
2020-01-01;14.8;13.4;16.7
2022-04-01;13.6;11.0;17.0
2022-07-01;14.0;11.0;17.8
2022-10-01;12.3;10.0;15.5
2023-01-01;14.1;11.8;17.2
2023-04-01;14.2;12.5;16.4
2023-07-01;13.3;11.5;15.7
2023-10-01;12.0;10.2;14.4
2024-01-01;12.4;10.3;15.2
2024-04-01;11.6;10.0;13.6
2024-07-01;10.6;8.9;12.9
2024-10-01;10.3;8.1;13.0
2025-01-01;11.6;9.7;14.0
2025-04-01;10.4;9.3;11.8
2025-07-01;10.0;8.0;12.8
2025-10-01;8.8;8.2;9.7
