periodo;total;homens;mulheres
2012-01-01;56.6;69.9;44.5
2012-04-01;55.3;68.6;43.4
2012-07-01;56.7;69.6;45.1
2012-10-01;55.6;68.8;43.8
2013-01-01;55.0;68.0;43.2
2013-04-01;54.5;67.6;42.7
2013-07-01;55.1;68.3;43.1
2013-10-01;55.6;69.1;43.5
2014-01-01;54.8;67.9;43.0
2014-04-01;55.4;69.7;42.5
2014-07-01;55.6;68.7;44.0
2014-10-01;55.6;68.8;43.8
2015-01-01;55.3;68.4;43.4
2015-04-01;56.4;69.5;44.6
2015-07-01;57.2;70.2;45.3
2015-10-01;55.5;68.7;43.5
2016-01-01;55.6;68.8;43.7
2016-04-01;55.5;68.6;43.8
2016-07-01;54.2;67.4;42.4
2016-10-01;55.0;67.8;43.4
2017-01-01;54.3;66.9;43.0
2017-04-01;54.7;67.0;43.7
2017-07-01;55.0;67.5;43.8
2017-10-01;55.4;67.9;44.2
2018-01-01;56.4;69.1;45.0
2018-04-01;56.1;68.6;44.9
2018-07-01;56.1;68.8;44.9
2018-10-01;56.6;68.5;46.1
2019-01-01;56.6;68.6;46.0
2019-04-01;55.9;67.9;45.2
2019-07-01;55.6;67.2;45.2
2019-10-01;55.5;67.1;45.0
2020-01-01;53.2;64.4;42.8
2022-04-01;55.3;66.9;45.1
2022-07-01;55.6;67.6;45.1
2022-10-01;54.8;66.7;44.2
2023-01-01;54.8;66.6;44.3
2023-04-01;54.0;65.6;43.5
2023-07-01;53.2;65.2;42.5
2023-10-01;53.9;66.1;42.9
2024-01-01;54.2;66.4;43.6
2024-04-01;54.3;66.2;43.9
2024-07-01;55.1;67.2;44.5
2024-10-01;56.2;67.4;46.3
2025-01-01;54.4;66.3;44.0
2025-04-01;54.6;66.3;44.3
2025-07-01;54.0;66.0;43.4
2025-10-01;53.7;65.2;43.6
